name,alternate name,common set
naval architect,,1
sultan,,1
physical therapist,phys therapist,1
laborer,,1
imperatritsa,,
journalist,,1
ninja,,1
editor,,1
poet,,1
carpenter,,1
switchboard operator,switchboard op,1
sculptor,,1
chief visionary officer,cvo,
astronomer,,1
emperor,,1
kabaka of buganda,,
rynda,,
sanggung,,
mathematician,,1
mwami,,
new,,
residential advisor,resident asst,1
matagi,,
vivandi\u00e8re,,
tlatoani,,
skeptic,,1
radiotherapist,,1
technologist,,1
financial manager,financial mngr,1
mother,,1
emergency physician,emerg physician,1
ikhshid,,
khosrow,,
parachute rigger,parachutist,1
counselor,,1
sheet metal worker,metal worker,1
chief mechanical engineer,cme,
correspondent,,1
stonemason,,1
geographer,,1
chef,,1
theatrical technician,theatrical tech,1
environmental scientist,environment sci,1
utilization management,,
cement mason,,1
archivist,,1
baby farming,,
bylaw enforcement officer,bylaw officer,1
train dispatcher,signalman,1
ophthalmologist,,1
gynecologist,,1
set designer,,1
nun,,1
lugal,,
operator,,1
teamster,,
pharmacy technician,pharmacy tech,1
freelancer,,1
commissioning editor,acquisitionist,1
gungnyeo,,
king,,1
basileus,,
sahib,,
development director,project drctr,
biophysicist,,1
summoner,,1
cartoonist,,1
copy editor,,1
lawyer,,1
rigger,,1
okyenhene,,
chief research officer,cro,
shop foreman,,1
gastroenterologist,gi doctor,1
grader,,1
explorer,,1
hatter,,1
staff writer,,1
slaughterer,,1
chief brand officer,cbo,
reeve,,
queen dowager,,1
cordwainer,,1
software quality analyst,qa engineer,1
paedagogi,,
music director,,1
squire,,1
coachman,,1
curator,,1
statistician,,1
anthropologist,,1
neurologist,,1
chief risk officer,cro,
riding officer,,1
crown prince,,1
freight conductor,freight cond,1
chief operating officer,coo,
astronaut,,1
taper,,
kaiser,,1
photojournalist,,1
link-boy,,
child,,1
tea lady,,
ariki,,
political scientist,political sci,1
registered nurse,reg nurse,1
grubber,,
meat cutter,,1
radiologist,,1
software analyst,software anlst,1
certified registered nurse anesthetist,certified rn,
ghostwriter,,1
host,,1
athletic trainer,fitness trainer,1
gynaecologist,,1
detective,,1
party planner,,1
chief knowledge officer,cko,
chief content officer,cco,
engineer,,1
dishwasher,,1
pipefitter,,1
station agent,,
marquess of lavradio,,
government scientist,government sci,1
lyricist,,1
advisor,,1
messenger,,1
physical therapist assistant,phys therapist asst,
sonographer,,1
olubadan,,
deal porter,,
botanist,,1
leatherworker,,1
cutter,,1
chief web officer,cwo,
investigating censor,,
princess royal,,
dental assistant,dental asst,1
priest hunter,,
cardiothoracic surgeon,ct surgeon,1
jurist,,1
pathologist,,1
environmental engineer,enviro engr,1
draper,,1
cartographer,,1
knocker-up,,
top executive,,
railroad engineer,railroad engr,1
chief strategy officer,cso,
sport,,
community health worker,health worker,1
physician assistant,physician asst,1
freischar,,
director,,1
chief experience officer,ceo,
family nurse practitioner,fam nurse prac,1
translator,,1
khatun,,
anesthesiologist,anaesthetist,1
athlete,,1
amtmann,,
adjuster,,1
industrial engineer,industrial engr,1
illustrator,,1
rower woman,,
playwright,,1
designer,,1
court dwarf,,
wardrobe supervisor,wardrobe sprvsr,1
book coach,coach,1
milliner,,1
breaker boy,,
shah,,1
kushanshah,,
lighting designer,lighting dsgr,1
lamp trimmer,,1
entertainer,,1
cinematographer,,1
construction worker,builder,1
rani,,
inventor,,1
scaler,,
bobbin boy,,
registered respiratory therapist,resp therapist,1
auto mechanic,,1
doffer,,1
animator,,1
m\u00fcnzmeister,,
social scientist,social sci,1
colorist,,1
archeologist,,1
maharao,,
fangshi,,
forensic scientist,forensic sci,1
\u0142owczy,,
educational technologist,edu futurist,1
ispravnic,,
mirza,,
marketing manager,marketing mngr,1
khagan,,
scrivener,,
interpreter,,1
donkey puncher,,
event planner,,1
costume designer,costume dsgr,1
tselovalnik,,
computational scientist,computation sci,1
glover,,1
brother,,1
paleontologist,,1
darogha,,
demographic marketer,marketer,1
mogho naba,,
texas constable,,
charge artist,,
administrative assistant,admin assistant,1
baker,,1
chief security officer,cso,
clergy,,1
paralegal,,1
ragpicker,,
wife,,1
king of kings,,
town crier,,1
chapmen,,1
singer,,1
portreeve,,1
clinical laboratory technologist,clncl futurist,
waiter,,1
hetaira,,
chief administrative officer,cao,
changer,,
baig,,
taffelt\u00e4ckare,,
taxidermist,,1
tailor,,1
radiographer,,1
limner,,
prince regent,,1
chief diversity officer,cdo,
social worker,,1
franklin,,
chief process officer,cpo,
arendator,,1
chief revenue officer,cro,
soaper,,1
maharawat,,
neonatal nurse practitioner,neonatal np,
nursemaid,nanny,1
petroleum geologist,petro geologist,1
security engineer,security engr,1
surveyor,,1
engraver,,1
malik,,
cabin boy,,
physical therapy assistant,phys therapy asst,
aunt,,1
chanyu,,
art director,,1
fashion designer,fashion desr,1
princess,,1
gentleman scientist,gentleman sci,1
murder,murderer,1
building inspector,bldg inspector,1
fifer,,
griot,,1
station master,,1
heavy infantry,,1
hairstylist,,1
mental health nurse practitioner,mhnp,1
appraiser,,1
chief communications officer,cco,
writer,,1
fine artist,,1
poundmaster,,1
set decorator,,1
software engineer,software engr,1
manicurist,,1
yang di-pertuan agong,,
chief customer officer,cco,
fundraiser,,1
engineering technician,engr technician,1
set dresser,,1
radiologic technologist,radiologic tech,
ice cutting,ice cutter,1
city guard,,1
artist,,1
caregiver,,1
data analyst,,1
shoemaker,,1
cavalry,,1
woodworker,,1
aerospace engineer,aerospace engr,1
expressman,,1
software developer,software dev,1
gunsmith,,1
literary editor,,1
pharmacist,,1
barber,,1
chief marketing officer,cmo,
chief product officer,cpo,
network analyst,,1
speech-language pathologist,speechtherapist,
rain queen,,
manciple,,1
miller,,1
general practitioner,general prac,1
chief investment officer,cio,
flight nurse,,1
faama,,
mankari,,
marchand-mercier,,
sailor,,1
backup dancer,,1
upholsterer,,1
metallurgist,,1
oceanographer,,1
stepsibling,,1
technician,,1
national park service ranger,nat park rngr,1
buyer,,1
locomotive engineer,locomotive engr,1
general manager,,1
uinyeo,,
computer programmer,computer prgrmmr,
yiji,,
tosher,,
master of the buckhounds,,
psychologist,,1
intern,,1
chief executive officer,ceo,
archaeology,,1
chemist,,1
art administrator,art admin,1
mudlark,,
dressmaker,,1
niece,,1
chief compliance officer,cco,
cardiologist,,1
rajmata,,
clerk,,1
chief financial officer,cfo,
human resources manager,hr manager,1
internist,,1
investigator,,1
fabricator,,1
monk,,1
archduke,,1
geoprofessions,geoprofessional,1
princess mother,,
chief creative officer,cco,
chief visibility officer,cvo,
tender,,
postilion,,1
professional mourning,mourner,1
stage manager,,1
drysalter,,1
dramaturge,,1
resin worker,,1
stationary engineer,stationary engr,1
lamplighter,,1
dietitian,,1
prioress,,
police officer,,1
accountant,,1
engag\u00e9,,
graphic designer,graphic desr,1
word processor,,
sex therapist,,1
porter,,1
teacher,,1
school counselor,school cnslr,1
ecologist,,1
tuner,,1
truck driver,,1
medical laboratory technician,lab tech,1
maid,,1
penciller,,1
son,,1
mentor,,1
science attach\u00e9,,1
h\u00f9ng king,,
otolaryngologist,ent doctor,1
feeder of lice,,
executioner,,1
telemarketer,,1
chief innovation officer,cio,
khapper,,
stunt performer,,1
marquetarian,,1
proofreader,,1
gandy dancer,,
druk gyalpo,,
technical director,technical drctr,1
cashier,,1
cup-bearer,,
peddler,,1
bellhop,,1
chief science officer,cso,
facilitator,,1
stepchild,,1
elevator operator,lift attendant,1
priest,,1
protagonist,,1
worker,,1
castrato,,1
pedicurist,,1
secondman,,
begum,,
cartouche,,
plasterer,,1
women's health nurse practitioner,whnp,1
chief information officer,cio,
pediatrician,,1
tawaif,,
veterinarian,,1
count of avintes,,
farmworker,,1
runner,,1
queen mother,,1
operations manager,op manager,1
pevchy dyak,,
chief privacy officer,cpo,
paperhanger,forger,1
etcher,,1
character actor,,1
uparaja,,
cazonci,,
telegraphist,,1
medical transcriptionist,MT,
antagonist,,1
flight attendant,flight attndnt,1
usher,,1
book peddler,,1
hall boy,,
managing director,managing drctr,1
queen consort,,1
tax preparer,,1
sister,,1
tawananna,,
stage crew,stage crew,
school science technician,school tech,1
chief executive,,1
pinsetter,,1
scout,,1
gurkhan,,
naturalist,,1
footman,,1
foreman,,1
prosthetist,,1
computer operator,computer op,1
chief business development officer,cbdo,
mursm\u00e4cka,,
negus,,1
between maid,,
janitor,,1
concierge,,1
judge,,1
beg khan,,
maharana,,
stepfather,,1
r\u00e9p\u00e9titeur,,
weroance,,
sea marshal,,1
brakeman,,1
colportage,,1
jam sahib,,
gong farmer,,
hydrologist,,1
producer,,1
artisan,,1
herb strewer,,
umalohokan,,
escort,,1
fendersmith,,
punkah wallah,,
soda jerk,,1
roofer,,1
miner,,1
sales engineer,,1
production manager,production mngr,1
seneschal,,
between staff,,
field training officer,,
audiologist,,1
beader,,1
publicist,,1
legislator,,1
creative consultant,creative csltnt,1
crossing sweeper,,
psychiatric nurse practitioner,pscyh np,1
master electrician,master elctrcn,1
network administrator,network admin,1
certified respiratory therapist,crt,1
chaplain,,1
law-writer,,
bodyguard,,1
application analyst,app analyst,1
guard,,1
data entry clerk,data entry tech,1
sawfiler,,1
andriana,,
paramount ruler,,1
nephrologist,,1
website content writer,content creator,1
seamstress,,1
sugar-baker,,
air traffic controller,air traffic ofc,1
locomotive superintendent,chief mech engr,1
brickmason,,1
lighting technician,lighting tech,1
surgical technologist,scrub tech,1
podiatrist,,1
boilermaker,,1
father,,1
grand mughal,,
cook,,1
publican,,1
speechwriter,,1
paramedic,,1
psychotherapist,,1
khanum,,
logistician,,1
quilter,,1
mental health counselor,mhc,
scribe,,1
chief restructuring officer,cro,
chief services officer,cso,
community service officer,cso,
servant,,1
travel agent,,1
assembler,,1
navvy,navigator,1
economist,,1
high king,,
aide,,1
alara of ilara-mokin,,
prosthodontist,,1
road foreman of engines,,
substitute teacher,sub teacher,1
